year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-800000,-3.13538,-0.77702,-0.79008,-0.99059,-0.20283,0.11081,-0.04972,-0.90081,1.90444,-0.80984,1.97466
-798000,-3.88872,-0.85069,-0.87491,-0.72369,0.00579,-1.03681,-0.75152,-0.76086,1.86057,-1.77685,1.94979
-796000,-4.18205,-0.6652,-0.66773,-0.65941,0.32221,-0.64063,-0.52083,-0.7216,1.8167,-1.9011,1.92492
-794000,-4.47538,-0.47971,-0.46055,-0.60082,0.61892,-0.24869,-0.05645,-0.68495,1.77283,-2.02535,1.90004
-792000,-4.76872,-0.29423,-0.25337,-0.54793,0.8542,0.13967,0.56832,-0.64989,1.72896,-2.1496,1.87517
-790000,-4.53872,0.04515,0.09819,-0.50073,1.02458,0.52459,1.1307,-0.61796,1.68509,-2.24912,1.8503
-788000,-4.30872,0.38452,0.44975,-0.46819,1.08948,0.90704,1.36589,-0.59563,1.64121,-2.34863,1.82543
-786000,-3.55872,0.88873,0.9251,-0.43971,1.07326,1.28947,1.27468,-0.57541,1.59734,-2.43296,1.80056
-784000,-2.80872,1.39294,1.40046,-0.42669,0.95156,1.67214,0.77662,-0.56597,1.55347,-2.51729,1.77569
-782000,-5.25872,1.29648,1.31384,-0.41611,0.7638,-1.79903,0.13216,-0.55814,1.5096,-2.15243,1.75082
-780000,-4.81872,1.12415,1.14781,-0.41936,0.50765,-1.41446,-0.44981,-0.5605,1.46573,-2.04206,1.72594
-778000,-4.37872,0.95182,0.98179,-0.43157,0.2179,-1.02873,-0.81866,-0.56951,1.42186,-1.9317,1.70107
-776000,-3.93872,0.77948,0.81577,-0.45273,-0.0904,-0.64286,-0.80051,-0.58434,1.37799,-1.82133,1.6762
-774000,-3.49872,0.60715,0.64975,-0.4869,-0.39175,-0.25516,-0.53822,-0.60861,1.33412,-1.71097,1.65133
-772000,-3.05872,0.43481,0.48373,-0.53654,-0.65717,0.13595,-0.12861,-0.64256,1.29025,-1.6006,1.62646
-770000,-2.61872,0.26248,0.31771,-0.59838,-0.87738,0.52934,0.21105,-0.68309,1.24638,-1.49024,1.60159
-768000,-2.17872,0.09015,0.15169,-0.67161,-1.01647,0.92655,0.27022,-0.72918,1.20251,-1.37987,1.57672
-766000,-4.76872,0.02565,0.08501,-0.75298,-1.0918,1.32608,0.09301,-0.77788,1.15863,-0.5178,1.55185
-764000,-4.52372,-0.06995,-0.01534,-0.85063,-1.06978,0.44921,-0.29481,-0.83189,1.11476,-0.09704,1.52697
-762000,-4.27872,-0.16556,-0.11569,-0.94746,-0.97938,-1.70931,-0.67252,-0.88245,1.07089,0.32371,1.5021
-760000,-1.82872,-0.30216,-0.26192,-1.05406,-0.79741,-1.28924,-0.83344,-0.93224,1.02703,0.83739,1.47723
-758000,-1.70538,-0.43681,-0.41101,-1.16309,-0.55749,-0.86149,-0.75804,-0.97867,0.98315,1.27053,1.45236
-756000,-1.58205,-0.57147,-0.56009,-1.26969,-0.25267,-0.41747,-0.39898,-1.01835,0.93928,1.70367,1.42749
-754000,-1.45872,-0.70612,-0.70918,-1.3714,0.07997,0.04507,0.05372,-1.05273,0.89541,2.13681,1.40262
-752000,-1.48538,-0.89084,-0.92687,-1.45928,0.42188,0.54057,0.42853,-1.07792,0.85154,1.96876,1.37775
-750000,-1.51205,-1.07557,-1.14455,-1.52682,0.74989,1.07182,0.63269,-1.09545,0.80767,1.80071,1.35287
-748000,-1.53872,-1.26029,-1.36224,-1.5317,1.02806,1.62965,0.58183,-1.09671,0.7638,1.63265,1.328
-746000,-3.01872,-1.28948,-1.3981,-1.49508,1.25059,-1.66945,0.41183,-1.08761,0.71993,1.64808,1.30313
-744000,-4.49872,-1.31867,-1.43395,-1.40558,1.37229,-1.1564,0.2561,-1.06267,0.67606,1.66351,1.27826
-742000,-4.02872,-1.3422,-1.46306,-1.29084,1.40937,-0.67705,0.22132,-1.02627,0.63219,1.39528,1.25339
-740000,-3.55872,-1.36572,-1.49216,-1.15577,1.31781,-0.23305,0.40395,-0.97504,0.58832,1.12705,1.22852
-738000,-4.00538,-1.01054,-1.08137,-1.01418,1.13353,0.19275,0.68731,-0.91438,0.54445,1.08074,1.20365
-736000,-4.45205,-0.65536,-0.67058,-0.86365,0.8345,0.60507,0.92395,-0.83846,0.50058,1.03443,1.17878
-734000,-4.89872,-0.30018,-0.25979,-0.71067,0.47056,1.00764,0.96933,-0.75303,0.4567,0.98813,1.1539
-732000,-4.8012,-0.28888,-0.24768,-0.56014,0.05331,1.40423,0.61985,-0.65739,0.41283,1.00159,1.12903
